# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
3.7417 1.3887 0.1925   3 2 1   1 -1 0   1 0 0   (1)
3.7417 1.5811 0.1690   3 2 1   1 1 2   0 0 1   (1)
3.7417 1.6475 0.1622   3 2 1   1 -1 1   1 1 0   (1)
3.7417 1.7321 0.1543   3 2 1   -1 1 1   1 0 0   (12)
3.7417 1.7928 0.1491   3 1 2   1 2 0   1 0 1   (1)
3.7417 1.9640 0.1361   3 2 1   2 -1 0   1 0 0   (1)
3.7417 2.0529 0.1302   3 2 1   1 3 0   0 1 0   (1)
3.7417 2.0874 0.1280   3 2 1   0 -2 1   1 1 0   (1)
3.7417 2.2200 0.1204   3 2 1   1 -2 0   0 1 0   (1)
3.7417 2.2361 0.1195   3 2 1   0 1 -2   1 1 0   (12)
3.7417 2.3146 0.1155   3 2 1   1 1 -2   0 0 1   (1)
3.7417 2.4349 0.1098   3 2 1   -1 1 2   1 1 1   (1)
3.7417 2.5355 0.1054   3 2 1   1 1 3   0 0 1   (1)
3.7417 2.5495 0.1048   3 1 2   0 1 3   1 0 0   (1)
3.7417 2.6859 0.0995   3 1 2   2 3 0   1 0 1   (1)
3.7417 2.8661 0.0933   3 2 1   0 1 3   2 1 0   (1)
3.7417 2.8909 0.0925   3 2 1   1 4 0   0 1 0   (1)
3.7417 2.9032 0.0921   3 2 1   0 3 2   1 0 0   (1)
3.7417 2.9520 0.0905   3 1 2   -2 2 1   0 1 1   (1)
3.7417 2.9881 0.0894   3 2 1   1 -2 2   1 1 0   (1)
3.7417 3.0589 0.0874   3 2 1   1 -3 0   0 1 0   (1)
3.7417 3.0822 0.0867   3 2 1   0 2 3   1 1 1   (1)
3.7417 3.1396 0.0851   3 2 1   4 -1 0   1 0 0   (1)
3.7417 3.1510 0.0848   3 2 1   0 -1 3   1 0 2   (1)
3.7417 3.2733 0.0816   3 2 1   1 1 -3   0 0 1   (1)
3.7417 3.3488 0.0798   3 2 1   0 4 1   1 -1 0   (1)
3.7417 3.4434 0.0776   3 2 1   0 -3 2   1 1 0   (1)
3.7417 3.4949 0.0765   3 2 1   1 1 4   0 0 1   (1)
3.7417 3.5153 0.0760   3 2 1   2 0 -3   1 1 1   (1)
3.7417 3.5956 0.0743   3 2 1   0 2 -3   1 1 0   (1)
3.7417 3.6056 0.0741   3 1 -2   2 0 3   1 0 1   (12)
3.7417 3.6742 0.0727   3 1 2   1 4 0   1 -1 1   (1)
3.7417 3.7321 0.0716   3 2 1   1 5 0   0 1 0   (1)
3.7417 3.7985 0.0704   3 2 1   0 1 4   1 1 2   (1)
3.3166 3.8376 0.0786   3 1 1   1 -1 4   1 0 1   (1)
3.7417 3.9005 0.0685   3 2 1   1 -4 0   0 1 0   (1)
3.0000 3.9016 0.0854   2 2 1   -4 1 1   1 0 0   (1)
3.1623 3.9243 0.0806   3 1 0   0 4 1   1 0 0   (1)
2.4495 3.9370 0.1037   2 1 1   0 -1 4   1 0 2   (1)
3.6056 4.0096 0.0692   3 2 0   1 1 4   0 0 1   (1)
3.1623 4.0125 0.0788   3 0 1   1 4 0   0 1 0   (1)
3.3166 4.0227 0.0750   3 1 1   0 4 -1   1 2 0   (1)
2.2361 4.0249 0.1111   2 0 1   1 4 0   0 1 0   (1)
3.7417 4.0267 0.0664   3 1 2   1 4 -1   1 2 0   (1)
3.0000 4.0277 0.0828   2 2 1   1 -1 4   1 0 2   (1)
2.4495 4.0415 0.1010   2 1 1   1 -4 0   0 1 0   (1)
3.7417 4.0444 0.0661   3 2 1   0 4 3   -1 1 1   (1)
3.7417 4.0532 0.0659   3 2 1   1 3 -3   1 1 0   (1)
1.4142 4.0620 0.1741   1 1 0   0 1 4   0 0 1   (1)
3.0000 4.0689 0.0819   2 2 1   1 0 -4   1 1 0   (1)
3.6056 4.0856 0.0679   3 0 2   0 4 1   1 1 1   (1)
3.7417 4.0883 0.0654   3 2 1   -2 3 2   1 0 0   (1)
