# Nmax = 5
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
6.4031 2.2632 0.0690   5 0 4   2 1 -1   1 0 1   (1)
6.4031 2.2793 0.0685   5 4 0   3 1 2   1 0 1   (1)
6.4031 2.4043 0.0650   5 0 4   1 1 -2   1 0 1   (1)
6.4031 2.4245 0.0644   4 4 3   0 1 3   1 1 1   (1)
6.4031 2.4445 0.0639   5 0 4   1 2 -1   1 1 0   (1)
6.4031 2.5471 0.0613   5 0 4   0 1 3   1 0 1   (1)
6.4031 2.5614 0.0610   4 4 3   -1 2 2   0 1 1   (1)
6.4031 2.6226 0.0595   4 4 -3   1 3 1   0 1 1   (1)
6.4031 2.6365 0.0592   5 4 0   1 3 2   0 1 1   (1)
6.4031 2.6914 0.0580   5 0 4   4 1 0   1 0 1   (1)
6.4031 2.8327 0.0551   4 4 3   3 0 -1   0 1 1   (1)
6.4031 2.8370 0.0550   5 0 4   3 1 -1   1 0 1   (1)
6.4031 2.8499 0.0548   5 4 0   -2 1 2   1 2 1   (1)
6.4031 2.9050 0.0538   4 4 3   -1 3 0   1 2 1   (1)
6.4031 2.9837 0.0523   5 0 4   2 1 -2   1 0 1   (1)
3.0000 6.4031 0.0521   2 2 1   4 3 -5   1 1 0   (12)
6.4031 3.0041 0.0520   5 4 0   1 1 3   0 0 1   (1)
6.4031 3.0162 0.0518   5 0 4   2 3 2   1 1 1   (1)
6.4031 3.0364 0.0514   4 4 3   5 1 1   1 0 0   (1)
6.4031 3.0644 0.0510   5 4 0   1 0 3   1 1 -1   (1)
6.4031 3.0802 0.0507   5 4 0   0 3 2   2 0 -1   (1)
6.4031 3.1000 0.0504   5 0 4   0 3 1   2 1 2   (1)
6.4031 3.1313 0.0499   5 0 4   1 1 -3   1 0 1   (1)
3.1623 6.4031 0.0494   3 1 0   5 -5 1   1 0 0   (12)
6.4031 3.1930 0.0489   5 4 0   3 1 3   0 -1 2   (1)
6.4031 3.2234 0.0485   4 4 3   -3 1 1   1 0 0   (1)
6.4031 3.2498 0.0481   5 4 0   2 0 3   2 1 1   (1)
6.4031 3.2796 0.0476   5 0 4   0 1 4   1 0 1   (1)
6.4031 3.3093 0.0472   4 4 3   4 1 -1   1 2 2   (1)
6.4031 3.3240 0.0470   5 0 4   3 2 -1   2 1 0   (1)
6.4031 3.3822 0.0462   5 4 0   0 2 -3   2 1 1   (1)
6.4031 3.4001 0.0459   4 4 3   3 1 -2   0 1 2   (1)
6.4031 3.4287 0.0455   5 0 4   4 1 -1   1 0 1   (1)
6.4031 3.4571 0.0452   5 4 0   4 1 3   1 0 1   (1)
6.4031 3.4817 0.0449   4 4 3   3 0 -2   2 1 0   (1)
6.4031 3.4956 0.0447   4 4 3   2 3 -2   1 1 1   (1)
6.4031 3.5373 0.0442   4 -4 3   4 1 1   1 1 0   (1)
6.4031 3.5510 0.0440   4 4 3   3 -2 0   2 1 1   (1)
6.4031 3.5784 0.0436   5 0 4   3 1 -2   1 0 1   (1)
6.4031 3.6191 0.0432   4 4 3   0 5 1   1 2 1   (1)
6.4031 3.6224 0.0431   5 0 4   2 3 -1   1 1 0   (1)
6.4031 3.6726 0.0425   4 3 -4   1 0 4   2 1 1   (1)
6.4031 3.7122 0.0421   5 0 4   -1 3 2   0 1 1   (1)
6.4031 3.7286 0.0419   5 0 4   2 1 -3   1 0 1   (1)
6.4031 3.7384 0.0418   4 4 3   -3 2 1   3 1 1   (1)
6.4031 3.8063 0.0410   4 4 3   1 -1 4   1 2 -1   (1)
6.4031 3.8159 0.0409   4 4 3   3 -2 2   0 1 0   (1)
6.4031 3.8414 0.0407   5 4 0   1 5 2   0 2 1   (1)
6.4031 3.8793 0.0403   5 0 4   1 1 -4   1 0 1   (1)
6.4031 3.9043 0.0400   5 4 0   4 0 3   0 1 -1   (1)
6.4031 3.9293 0.0397   4 4 3   0 1 -4   1 1 1   (1)
6.4031 4.0030 0.0390   5 4 0   1 1 4   0 0 1   (1)
6.4031 4.0061 0.0390   5 0 4   -3 3 1   1 1 2   (1)
6.4031 4.0273 0.0388   5 4 0   2 1 -4   1 1 1   (1)
6.4031 4.0304 0.0387   5 0 4   0 1 5   1 0 1   (1)
6.4031 4.0755 0.0383   5 4 0   0 1 4   1 1 1   (1)
6.4031 4.1113 0.0380   5 4 0   2 -3 2   3 0 1   (1)
6.4031 4.1467 0.0377   4 4 3   0 1 5   1 1 1   (1)
6.4031 4.1818 0.0373   5 0 4   4 1 -2   1 0 1   (1)
6.4031 4.2196 0.0370   5 4 0   -1 3 3   1 2 1   (1)
6.4031 4.2282 0.0369   4 3 -4   3 3 2   1 1 1   (1)
6.4031 4.2398 0.0368   5 4 0   -1 1 4   2 2 1   (1)
4.2426 6.4031 0.0368   4 1 1   5 -5 3   1 1 0   (12)
6.4031 4.2656 0.0366   4 4 3   5 -1 1   2 1 1   (1)
6.4031 4.3308 0.0361   5 4 0   5 0 3   3 1 1   (1)
6.4031 4.3336 0.0360   5 0 4   3 1 -3   1 0 1   (1)
6.4031 4.3533 0.0359   4 4 3   0 5 -1   1 0 1   (1)
6.4031 4.3561 0.0359   4 4 3   1 -3 3   2 1 2   (1)
6.4031 4.3645 0.0358   4 4 3   2 3 -3   1 1 1   (1)
6.4031 4.3868 0.0356   5 4 0   0 5 2   -3 0 1   (1)
6.4031 4.4090 0.0354   4 3 -4   1 4 2   0 1 1   (1)
6.4031 4.4857 0.0348   5 0 4   2 1 -4   1 0 1   (1)
6.4031 4.5612 0.0342   5 0 4   3 3 -2   3 1 1   (1)
6.4031 4.5826 0.0341   4 4 3   1 2 -4   1 1 1   (12)
6.4031 4.5959 0.0340   4 4 3   3 -3 2   0 1 0   (1)
6.4031 4.6038 0.0339   4 4 3   -1 2 5   0 1 2   (1)
6.4031 4.6250 0.0338   4 4 3   2 -3 3   1 0 1   (1)
6.4031 4.6355 0.0337   5 4 0   0 3 4   1 0 -1   (1)
6.4031 4.6381 0.0337   5 0 4   1 1 -5   1 0 1   (1)
6.4031 4.6670 0.0335   5 0 -4   3 2 3   1 1 2   (1)
6.4031 4.6800 0.0334   5 4 0   2 -3 3   2 0 1   (1)
6.4031 4.7008 0.0332   4 4 3   5 1 -2   2 1 0   (1)
6.4031 4.7703 0.0327   4 4 3   3 -2 4   1 3 0   (1)
6.4031 4.7831 0.0327   4 4 3   -5 1 1   1 0 0   (1)
6.4031 4.7907 0.0326   5 0 4   5 1 -2   1 0 1   (1)
6.4031 4.8009 0.0325   5 0 4   3 4 -1   1 1 0   (1)
6.4031 4.9213 0.0317   4 4 3   0 5 -2   1 3 0   (1)
6.4031 4.9238 0.0317   5 4 0   0 5 3   -2 0 1   (1)
6.4031 4.9436 0.0316   5 0 4   4 1 -3   1 0 1   (1)
6.4031 4.9510 0.0315   5 0 4   -1 2 5   0 1 3   (1)
6.4031 4.9608 0.0315   4 4 3   -3 4 0   0 3 1   (1)
6.4031 4.9804 0.0314   5 0 4   -1 4 3   0 1 1   (1)
6.4031 5.0000 0.0312   4 4 3   3 0 -4   0 1 2   (12)
6.4031 5.0024 0.0312   5 4 0   1 1 5   0 0 1   (1)
6.4031 5.0097 0.0312   5 0 4   2 5 2   1 2 1   (1)
6.4031 5.0195 0.0311   4 4 3   3 4 -3   1 1 1   (1)
6.4031 5.0219 0.0311   5 4 0   2 1 5   1 1 -2   (1)
6.4031 5.0389 0.0310   5 4 0   1 0 -5   1 1 1   (1)
6.4031 5.0485 0.0309   5 0 -4   4 3 2   1 1 1   (1)
6.4031 5.0606 0.0309   4 4 3   -3 1 4   2 1 0   (1)
6.4031 5.0774 0.0308   4 4 3   -4 1 3   1 2 2   (1)
6.4031 5.0870 0.0307   5 4 0   1 2 5   1 1 1   (1)
6.4031 5.0966 0.0306   5 0 4   3 1 -4   1 0 1   (1)
6.4031 5.1181 0.0305   5 0 4   3 5 1   1 3 0   (1)
6.4031 5.1537 0.0303   5 4 0   2 0 5   0 -1 3   (1)
6.4031 5.1726 0.0302   5 4 0   1 5 4   0 1 1   (1)
6.4031 5.1938 0.0301   5 0 4   -1 5 1   2 1 2   (1)
6.4031 5.2008 0.0300   4 4 3   1 -2 5   2 3 0   (1)
6.4031 5.2196 0.0299   4 4 3   -2 5 3   3 1 1   (1)
6.4031 5.2382 0.0298   5 4 0   -4 3 2   0 3 1   (1)
6.4031 5.2499 0.0297   5 0 4   2 1 -5   1 0 1   (1)
6.4031 5.2869 0.0295   5 4 0   1 3 5   2 2 1   (1)
6.4031 5.2938 0.0295   4 4 3   2 -5 1   3 0 2   (1)
6.4031 5.3030 0.0295   5 -4 0   2 4 3   1 1 1   (1)
6.4031 5.3397 0.0292   5 4 0   3 0 5   0 -1 2   (1)
6.4031 5.3761 0.0290   4 4 3   3 -4 2   0 1 0   (1)
6.4031 5.3965 0.0289   5 4 0   -2 1 5   0 1 2   (1)
6.4031 5.4033 0.0289   4 4 3   3 -2 5   2 1 2   (1)
6.4031 5.4325 0.0287   5 0 4   -1 3 5   0 1 2   (1)
6.4031 5.4571 0.0286   5 4 0   1 -2 5   2 1 1   (1)
6.4031 5.4861 0.0285   4 4 -3   3 5 3   1 2 2   (1)
6.4031 5.5216 0.0283   4 4 3   3 -3 4   1 0 1   (1)
6.4031 5.5282 0.0283   5 0 4   2 2 -5   4 1 0   (1)
6.4031 5.5568 0.0281   5 0 4   5 1 -3   1 0 1   (1)
6.4031 5.5634 0.0281   4 4 3   -2 5 4   1 0 0   (1)
6.4031 5.5721 0.0280   4 -4 3   0 5 3   1 1 2   (1)
6.4031 5.5896 0.0279   5 4 0   0 5 4   1 2 1   (1)
6.4031 5.6071 0.0279   4 4 3   1 4 -4   2 3 0   (1)
6.4031 5.6612 0.0276   5 4 0   -3 1 5   0 2 3   (1)
6.4031 5.6676 0.0276   4 -4 3   2 5 2   1 2 1   (1)
6.4031 5.6762 0.0275   4 4 3   4 5 -3   1 1 1   (1)
6.4031 5.6955 0.0274   5 4 0   -4 3 3   0 2 1   (1)
6.4031 5.7105 0.0273   5 0 4   4 1 -4   1 0 1   (1)
6.4031 5.7361 0.0272   5 0 4   2 5 -2   3 2 1   (1)
6.4031 5.7446 0.0272   4 3 -4   1 4 4   1 2 1   (12)
6.4031 5.7636 0.0271   4 4 3   -3 5 2   2 1 1   (1)
6.4031 5.7784 0.0270   4 -4 3   3 4 3   1 1 1   (1)
6.4031 5.8121 0.0269   4 4 -3   0 3 5   1 2 1   (1)
6.4031 5.8142 0.0269   5 4 0   1 -3 5   1 0 1   (1)
6.4031 5.8205 0.0268   5 0 -4   5 2 3   2 1 2   (1)
6.4031 5.8289 0.0268   5 0 4   -3 3 4   1 1 3   (1)
6.4031 5.8643 0.0266   5 0 4   3 1 -5   1 0 1   (1)
6.4031 5.8954 0.0265   4 4 3   3 4 -4   1 1 1   (1)
6.4031 5.9140 0.0264   4 4 -3   1 3 5   0 1 3   (1)
6.4031 5.9202 0.0264   4 4 3   2 -3 5   1 2 0   (1)
6.4031 5.9796 0.0261   5 0 4   4 5 -1   1 1 0   (1)
6.4031 5.9959 0.0260   4 4 3   -3 5 3   0 3 2   (1)
6.4031 6.0183 0.0259   4 3 -4   5 5 2   2 2 1   (1)
6.4031 6.0425 0.0258   5 0 4   1 4 -5   3 1 1   (1)
6.4031 6.0667 0.0257   5 0 -4   3 5 2   1 2 1   (1)
6.4031 6.1148 0.0255   5 0 -4   3 2 5   1 1 3   (1)
6.4031 6.1247 0.0255   4 4 3   -3 3 5   1 2 2   (1)
6.4031 6.1466 0.0254   4 4 3   -5 2 3   0 1 1   (1)
6.4031 6.1565 0.0254   4 4 3   3 -5 2   0 1 0   (1)
6.4031 6.2039 0.0252   4 4 3   1 5 -4   1 0 2   (1)
6.4031 6.2254 0.0251   4 4 -3   5 2 4   2 1 1   (1)
6.4031 6.2352 0.0250   5 4 0   5 -3 3   3 0 1   (1)
6.4031 6.2489 0.0250   5 0 4   -1 5 4   0 1 1   (1)
6.4031 6.2800 0.0249   5 4 0   4 -3 4   2 0 1   (1)
6.4031 6.3265 0.0247   5 0 4   5 1 -4   1 0 1   (1)
6.4031 6.3438 0.0246   4 4 3   -3 5 4   1 0 0   (1)
6.4031 6.3879 0.0244   4 3 -4   5 1 4   3 1 1   (1)
4.1231 6.4077 0.0379   3 2 2   4 -5 1   2 0 1   (1)
5.3852 6.4139 0.0290   5 0 -2   1 4 5   1 1 1   (1)
5.0990 6.4151 0.0306   4 1 3   -1 5 5   2 0 1   (1)
4.3589 6.4154 0.0358   3 -3 1   1 4 5   0 1 1   (1)
6.4031 6.4183 0.0243   4 4 3   4 -3 5   1 0 1   (1)
2.2361 6.4187 0.0697   2 0 1   1 5 5   0 1 1   (1)
6.1644 6.4195 0.0253   5 -2 3   2 5 4   0 2 1   (1)
4.1231 6.4215 0.0378   3 2 -2   2 5 4   0 2 3   (1)
5.7446 6.4220 0.0271   4 4 1   5 -4 1   0 1 0   (1)
5.8310 6.4238 0.0267   5 3 0   4 -5 1   2 1 0   (1)
5.3852 6.4273 0.0289   4 3 2   -3 3 5   3 1 0   (1)
5.0990 6.4301 0.0305   5 0 1   -4 3 5   0 1 2   (1)
3.7417 6.4310 0.0416   3 2 1   4 -5 1   0 1 0   (1)
6.4031 6.4335 0.0243   4 4 -3   1 4 5   0 1 2   (1)
5.1962 6.4349 0.0299   5 1 1   -1 4 5   1 0 0   (1)
5.8310 6.4375 0.0266   4 3 3   2 5 -4   1 0 2   (1)
6.4031 6.4411 0.0242   5 4 0   -4 2 5   0 1 1   (1)
1.4142 6.4420 0.1098   1 1 0   5 -4 1   1 0 0   (1)
3.7417 6.4420 0.0415   3 1 2   -2 5 4   0 1 1   (1)
5.8310 6.4420 0.0266   4 3 3   5 3 -4   1 1 3   (1)
4.1231 6.4443 0.0376   3 2 -2   3 3 5   1 1 2   (1)
5.9161 6.4454 0.0262   5 3 1   -4 5 1   0 4 1   (1)
5.3852 6.4461 0.0288   4 3 2   2 4 -5   1 1 0   (1)
6.4031 6.4506 0.0242   4 4 3   1 -5 4   2 1 2   (1)
5.0990 6.4510 0.0304   4 1 3   -3 3 5   0 1 2   (1)
3.3166 6.4526 0.0467   3 1 -1   1 4 5   0 2 3   (1)
5.3852 6.4568 0.0288   4 2 3   1 4 -5   1 1 0   (1)
3.6056 6.4570 0.0430   3 0 2   4 1 -5   1 0 1   (1)
6.1644 6.4624 0.0251   3 -5 2   5 4 1   1 2 0   (1)
6.4031 6.4638 0.0242   4 4 3   1 -4 5   1 3 -1   (1)
4.3589 6.4645 0.0355   3 3 1   4 -5 1   0 1 0   (1)
4.5826 6.4660 0.0337   4 1 -2   3 3 5   0 1 3   (1)
6.1644 6.4665 0.0251   3 -5 2   2 5 4   0 3 1   (1)
2.4495 6.4679 0.0631   2 1 -1   1 4 5   1 2 2   (1)
3.7417 6.4697 0.0413   3 2 1   -3 5 3   1 0 0   (1)
5.3852 6.4701 0.0287   4 -3 2   1 4 5   0 1 1   (1)
5.9161 6.4719 0.0261   5 1 -3   1 5 4   0 1 1   (1)
3.0000 6.4722 0.0515   2 -2 1   1 4 5   0 1 1   (1)
3.1623 6.4730 0.0489   3 1 0   -1 4 5   1 2 2   (1)
3.7417 6.4752 0.0413   2 1 -3   5 1 4   1 0 2   (1)
4.1231 6.4762 0.0375   4 -1 0   1 5 4   1 1 1   (1)
5.8310 6.4762 0.0265   5 0 3   -3 5 3   0 1 1   (1)
4.5826 6.4771 0.0337   4 1 -2   1 5 4   0 1 1   (1)
4.6904 6.4772 0.0329   3 3 2   -5 4 1   0 2 1   (1)
5.0000 6.4777 0.0309   4 0 3   4 1 -5   1 0 1   (1)
5.0990 6.4778 0.0303   5 1 0   -1 4 5   1 1 1   (1)
5.3852 6.4781 0.0287   4 3 2   -4 5 1   1 2 1   (1)
5.4772 6.4782 0.0282   5 1 2   1 4 -5   2 1 0   (1)
5.8310 6.4785 0.0265   4 3 3   1 -5 4   1 2 0   (1)
6.4031 6.4789 0.0241   4 4 3   -5 4 1   2 1 1   (1)
6.4807 0.5774 0.2673   5 1 4   2 0 1   1 0 0   (1)
6.4807 0.6362 0.2425   5 4 1   1 0 0   0 1 0   (1)
6.4807 0.7868 0.1961   5 1 4   0 0 1   1 0 0   (1)
6.4807 0.9880 0.1562   5 1 4   0 1 0   1 0 1   (1)
6.4807 1.1852 0.1302   5 4 1   0 1 1   2 1 0   (1)
6.4807 1.2150 0.1270   5 4 1   1 1 -1   0 0 1   (1)
6.4807 1.4058 0.1098   5 4 1   1 -1 0   1 0 0   (1)
6.4807 1.4557 0.1060   5 4 1   2 0 1   1 1 0   (1)
6.4807 1.7043 0.0905   5 4 1   1 -1 1   1 1 0   (1)
6.4807 1.7525 0.0880   5 4 1   -2 0 1   0 1 1   (1)
6.4807 1.7661 0.0874   5 4 1   1 3 0   0 1 0   (1)
6.4807 1.8127 0.0851   5 4 1   1 3 1   1 0 0   (1)
6.4807 1.9579 0.0788   5 1 4   1 2 0   1 0 1   (1)
6.4807 2.0354 0.0758   5 4 1   2 -1 0   1 0 0   (1)
6.4807 2.1876 0.0705   5 4 1   1 -2 0   0 1 0   (1)
6.4807 2.1985 0.0702   5 4 1   1 1 -2   0 0 1   (1)
6.4807 2.2147 0.0697   5 4 1   0 1 -2   1 1 0   (1)
6.4807 2.3248 0.0664   5 1 4   -2 1 1   2 0 1   (1)
6.4807 2.4446 0.0631   5 4 1   0 3 1   1 0 0   (1)
6.4807 2.4737 0.0624   5 4 1   3 0 2   1 1 0   (1)
6.4807 2.5495 0.0605   5 4 1   1 4 0   0 1 0   (1)
6.4807 2.6682 0.0578   5 4 1   3 -1 0   1 0 0   (1)
6.4807 2.7343 0.0564   5 4 1   2 -1 2   1 1 0   (1)
6.4807 2.7516 0.0561   5 4 1   1 1 3   0 0 1   (1)
6.4807 2.8991 0.0532   5 4 1   4 0 -1   2 1 0   (1)
6.4807 2.9358 0.0526   5 4 1   -2 1 2   0 1 1   (1)
6.4807 2.9721 0.0519   5 4 1   1 -3 0   0 1 0   (1)
6.4807 2.9960 0.0515   5 1 4   2 3 0   1 0 1   (1)
6.4807 3.0783 0.0501   5 4 1   -1 3 1   1 0 0   (1)
6.4807 3.1585 0.0489   5 4 1   3 -1 2   2 0 1   (1)
6.4807 3.1848 0.0485   5 4 1   1 1 -3   0 0 1   (1)
6.4807 3.2587 0.0474   5 4 1   0 -3 2   1 1 0   (1)
6.4807 3.3022 0.0467   5 4 1   4 -1 0   1 0 0   (1)
6.4807 3.3345 0.0463   5 4 1   1 5 0   0 1 0   (1)
6.4807 3.4122 0.0452   5 1 -4   0 1 4   2 1 1   (1)
6.4807 3.4400 0.0449   5 -4 1   3 2 0   1 1 0   (1)
6.4807 3.4744 0.0444   5 4 1   -3 1 2   2 1 0   (1)
6.4807 3.5220 0.0438   5 4 1   0 2 -3   1 1 0   (1)
6.4807 3.5923 0.0430   5 1 -4   2 0 3   1 0 1   (1)
6.4807 3.6613 0.0421   5 1 -4   1 2 3   1 1 1   (1)
6.4807 3.7129 0.0416   5 4 1   -2 3 1   1 0 0   (1)
6.4807 3.7385 0.0413   5 4 1   1 1 4   0 0 1   (1)
6.4807 3.7575 0.0411   5 4 1   1 -4 0   0 1 0   (1)
6.4807 3.7859 0.0408   5 4 1   3 -1 3   1 1 0   (1)
6.4807 3.8822 0.0397   5 4 1   1 0 4   1 1 -1   (1)
6.4807 3.9370 0.0392   5 1 4   0 1 5   1 0 0   (1)
6.4807 4.0503 0.0381   5 1 4   3 4 0   1 0 1   (1)
6.4807 4.0766 0.0379   5 1 4   -2 2 3   0 1 2   (1)
6.4807 4.1202 0.0375   5 4 1   1 0 -4   1 1 1   (1)
6.4807 4.1231 0.0374   5 1 4   2 2 -3   2 1 0   (12)
6.4807 4.1719 0.0370   5 4 1   1 1 -4   0 0 1   (1)
6.4807 4.1805 0.0369   5 1 4   -3 3 1   0 1 1   (1)
6.4807 4.2566 0.0362   5 1 4   -4 1 2   0 1 3   (1)
6.4807 4.3150 0.0358   5 4 1   1 -3 3   1 1 0   (1)
6.4807 4.3480 0.0355   5 4 1   -3 3 1   1 0 0   (1)
6.4807 4.5172 0.0342   5 1 4   2 1 -4   1 0 3   (1)
6.4807 4.5434 0.0340   5 4 1   1 -5 0   0 1 0   (1)
6.4807 4.5722 0.0337   5 1 4   -1 1 5   1 0 0   (1)
6.4807 4.5800 0.0337   5 4 1   0 -4 3   1 1 0   (1)
6.4807 4.6136 0.0334   5 4 1   0 -5 2   2 0 1   (1)
6.4807 4.6265 0.0334   5 1 4   0 3 5   2 0 1   (1)
6.4807 4.6879 0.0329   5 4 1   -3 3 2   0 2 1   (1)
6.4807 4.7031 0.0328   5 4 1   -3 0 4   0 1 2   (1)
6.4807 4.7258 0.0327   5 4 1   1 1 5   0 0 1   (1)
6.4807 4.8082 0.0321   5 4 1   -1 5 2   4 1 0   (1)
6.4807 4.8452 0.0318   5 4 1   0 3 -4   1 1 0   (1)
6.4807 4.8624 0.0317   5 4 1   2 0 5   2 1 2   (1)
6.4807 4.9063 0.0315   5 1 4   0 5 1   1 1 1   (1)
6.4807 4.9833 0.0310   5 4 1   -4 3 1   1 0 0   (1)
6.4807 4.9976 0.0309   5 1 -4   3 0 4   1 0 1   (1)
6.4807 5.0967 0.0303   5 4 -1   0 1 5   1 1 1   (1)
6.4807 5.1107 0.0302   5 1 4   4 5 0   1 0 1   (1)
6.4807 5.1594 0.0299   5 4 1   1 1 -5   0 0 1   (1)
6.4807 5.2030 0.0297   5 4 1   -4 2 3   2 1 0   (1)
6.4807 5.2076 0.0296   5 1 4   -2 1 5   1 0 0   (1)
6.4807 5.2236 0.0295   4 1 -5   5 3 1   1 1 2   (1)
6.4807 5.3050 0.0291   5 4 1   -2 3 4   0 1 1   (1)
6.4807 5.3296 0.0290   5 4 1   -2 0 5   1 1 1   (1)
6.4807 5.3652 0.0288   5 1 4   -3 4 2   0 1 1   (1)
6.4807 5.3763 0.0287   5 4 1   2 -3 4   1 1 0   (1)
6.4807 5.3830 0.0287   5 -1 4   2 5 2   1 2 1   (1)
6.4807 5.4751 0.0282   5 1 4   -2 5 1   0 2 1   (1)
6.4807 5.5227 0.0279   5 1 4   0 5 4   -1 2 1   (1)
6.4807 5.5784 0.0277   5 1 4   4 3 -3   2 1 0   (1)
6.4807 5.6104 0.0275   5 1 -4   2 2 5   2 1 1   (1)
6.4807 5.6188 0.0275   5 4 1   -5 3 1   1 0 0   (1)
6.4807 5.6421 0.0273   5 4 1   1 -4 4   1 1 0   (1)
6.4807 5.6925 0.0271   5 1 4   4 1 -4   0 0 1   (1)
6.4807 5.7134 0.0270   5 4 1   5 -3 2   1 2 0   (1)
6.4807 5.7300 0.0269   5 4 1   0 -3 5   2 0 3   (1)
6.4807 5.7797 0.0267   5 -4 1   3 5 0   1 2 0   (1)
6.4807 5.8289 0.0265   5 1 4   -2 3 5   0 1 2   (1)
6.4807 5.8412 0.0264   5 -1 4   4 5 4   1 1 1   (1)
6.4807 5.8432 0.0264   5 1 4   -3 1 5   1 0 0   (1)
6.4807 5.8838 0.0262   5 4 1   3 -5 1   1 4 0   (1)
6.4807 5.9080 0.0261   5 4 1   0 -5 4   1 1 0   (1)
6.4807 5.9702 0.0258   4 1 -5   0 5 4   1 3 1   (1)
6.4807 6.0690 0.0254   5 4 1   2 -5 3   2 0 1   (1)
6.4807 6.1296 0.0252   5 1 -4   4 4 3   0 1 2   (1)
6.4807 6.1470 0.0251   5 1 4   3 2 -5   1 0 2   (1)
6.4807 6.1741 0.0250   5 4 1   0 4 -5   1 1 0   (1)
6.4807 6.2507 0.0247   5 -4 1   5 4 0   1 1 0   (1)
6.4807 6.2545 0.0247   5 4 1   -4 1 5   2 2 1   (1)
6.4807 6.3114 0.0244   5 4 1   4 -4 3   3 1 1   (1)
6.4807 6.3565 0.0243   5 4 1   -3 4 4   2 1 0   (1)
6.4807 6.3733 0.0242   4 1 -5   3 3 5   0 1 4   (1)
6.4807 6.3864 0.0242   5 4 1   3 -4 4   1 3 -1   (1)
6.4807 6.4013 0.0241   4 -5 1   4 4 3   1 2 1   (1)
6.4807 6.4031 0.0241   5 1 -4   4 0 5   1 0 1   (12)
6.4807 6.4402 0.0240   5 4 1   3 -3 5   1 1 0   (1)
6.4807 6.4789 0.0238   5 1 4   4 1 -5   0 0 1   (1)
6.1644 6.4848 0.0250   5 2 3   -3 3 5   1 0 0   (1)
4.6904 6.4878 0.0329   3 3 -2   4 2 5   1 0 3   (1)
4.2426 6.4893 0.0363   4 1 1   -3 5 3   0 3 2   (1)
6.4807 6.4899 0.0238   5 4 1   -2 4 5   0 1 1   (1)
5.3852 6.4914 0.0286   5 2 0   -3 5 3   0 2 1   (1)
5.7446 6.4994 0.0268   4 4 1   -3 3 5   0 1 1   (1)
4.2426 6.5021 0.0362   4 1 -1   2 4 5   1 1 1   (1)
2.4495 6.5064 0.0627   2 1 1   -3 3 5   0 2 3   (1)
5.7446 6.5064 0.0268   5 2 2   4 -4 5   1 1 0   (1)
6.4031 6.5108 0.0240   5 0 4   3 3 -5   3 1 0   (1)
6.1644 6.5111 0.0249   5 2 3   3 -5 4   1 2 0   (1)
5.0000 6.5146 0.0307   4 0 3   -5 2 4   0 1 4   (1)
6.1644 6.5172 0.0249   5 3 2   5 1 -5   2 1 0   (1)
6.4031 6.5239 0.0239   5 0 4   2 4 -5   2 1 0   (1)
5.9161 6.5247 0.0259   5 1 3   2 -5 5   1 1 0   (1)
6.1644 6.5253 0.0249   3 2 -5   3 5 3   1 2 2   (1)
5.0000 6.5299 0.0306   4 3 0   -3 3 5   0 1 1   (1)
5.9161 6.5334 0.0259   5 1 3   -2 4 5   3 0 1   (1)
5.3852 6.5337 0.0284   4 3 2   3 -5 3   1 3 0   (1)
3.7417 6.5356 0.0409   3 2 1   3 -5 3   2 0 1   (1)
3.3166 6.5366 0.0461   3 1 1   2 4 -5   1 0 1   (1)
5.1962 6.5376 0.0294   5 1 1   3 -5 4   2 1 0   (1)
4.6904 6.5401 0.0326   3 3 2   5 -4 2   2 0 1   (1)
6.4031 6.5407 0.0239   5 0 4   -3 5 3   1 2 3   (1)
2.2361 6.5422 0.0684   2 1 0   -3 5 3   0 2 1   (1)
5.0990 6.5457 0.0300   4 3 1   -3 3 5   2 1 0   (1)
5.4772 6.5473 0.0279   5 2 1   -3 5 3   1 0 0   (1)
6.1644 6.5474 0.0248   5 -3 2   4 5 2   2 2 1   (1)
4.1231 6.5485 0.0370   3 2 -2   4 2 5   2 1 2   (1)
3.0000 6.5490 0.0509   2 1 -2   3 3 5   1 1 2   (1)
6.4807 6.5502 0.0236   5 1 4   -3 5 3   0 1 1   (1)
6.4031 6.5537 0.0238   4 4 3   4 5 -4   1 1 1   (1)
4.5826 6.5538 0.0333   4 2 1   -3 5 3   1 0 0   (1)
5.7446 6.5551 0.0266   5 2 2   -3 3 5   0 2 3   (1)
6.4031 6.5556 0.0238   4 3 -4   3 3 5   1 1 2   (1)
6.5574 0.2157 0.7071   5 3 3   2 1 1   0 1 0   (1)
6.5574 0.7153 0.2132   5 3 3   1 0 1   1 1 0   (1)
6.5574 0.7776 0.1961   5 3 3   2 2 1   0 1 0   (1)
6.5574 0.8892 0.1715   5 3 3   0 0 1   2 1 0   (1)
6.5574 1.0343 0.1474   5 3 3   2 0 1   0 1 0   (1)
6.5574 1.2008 0.1270   5 3 3   1 2 1   2 0 1   (1)
6.5574 1.3809 0.1104   5 3 3   1 -1 0   3 0 1   (1)
6.5574 1.4142 0.1078   5 3 3   0 -1 1   1 1 0   (12)
6.5574 1.4785 0.1031   5 3 3   1 2 0   1 0 1   (1)
6.5574 1.5701 0.0971   5 3 3   3 1 0   1 0 -1   (1)
